plasma_conc,ROt
0.123079937,8.710815652
0.166665044,3.25987932
0.552011033,4.824632879
0.164562541,10.59432063
0.178479144,12.1315065
0.189127099,13.49754296
0.141410227,13.66093895
0.197720247,27.82699839
0.124066567,33.78563967
0.173478887,47.61054895
0.700420584,46.79213316
0.743256983,38.43539002
0.752547783,32.9772746
0.994699556,33.83704193
0.865697304,29.39864387
1.15790069,28.72352263
0.603716821,28.87801656
0.610914849,27.343128
0.618275345,24.95536403
0.590159242,25.12479046
0.754303863,16.94321702
2.868483573,28.06362106
4.310708272,26.02677081
8.772288849,18.36840915
2.704504088,33.00886258
2.967085138,35.5697861
2.042514868,44.25992598
2.373744033,50.40436201
2.635587867,50.57752156
1.52363182,60.45737956
1.835218695,60.46197418
6.173357858,35.41730231
4.403399781,39.67335159
4.202321267,41.20737866
4.29875354,45.13117985
4.395872435,51.44303216
5.809061929,53.83797521
7.679230304,53.84486713
10.89589841,47.03047881
10.8988707,45.15415292
10.90562892,40.8897759
14.75143101,42.94414312
21.6585533,40.90671855
15.44080601,48.74484452
17.54529647,49.7714538
17.33212358,53.86496857
10.86864525,64.25856196
6.986802195,63.90649959
6.901229014,68.68231468
5.788213678,78.57136191
10.73126964,71.76357834
13.54635258,69.2106954
14.00018849,82.51641319
29.84104118,76.22380082
27.52925071,70.93396318
17.51443526,61.88228453
26.00769869,62.06262317
26.62826627,59.84572144
26.63817211,57.28709523
40.0651543,49.45069224
40.07012183,48.59781684
66.70344913,62.76818373
62.25108012,57.99035849
48.18565026,59.86036678
56.83210179,44.51262981
66.88065758,44.51665009
40.15068155,34.78123531
50.68698927,31.71662712
39.74161192,25.22874362