dose,reduction
0.03164557,0.018488667
0.110759494,0.148466846
0.015822785,-0.093427546
0.189873418,0.253174268
0.253164557,0.303727208
0.42721519,0.395816387
0.601265823,0.464439862
0.806962025,0.509603345
1.060126582,0.543945072
1.408227848,0.574693826
1.693037975,0.609041265
2.07278481,0.628965407
2.46835443,0.654307568
3.291139241,0.681531897
4.066455696,0.703332496
4.699367089,0.721497281
5.759493671,0.736129073
6.962025316,0.752591624
8.037974684,0.763616163
9.050632911,0.774629278